county,city,type,website,drop,ballot,ballot_link,ballot_link_text,sorting_county
Hancock,Bar Harbor,election,http://www.barharbormaine.gov/130/Elections---General-Info,,"Town meeting June 1, candidate election June 8",http://www.barharbormaine.gov/DocumentCenter/View/4968/20210608-Town-Sample-Ballot,Sample ballot,Hancock
Hancock,Blue Hill,election,https://www.townofbluehillmaine.org/-voting,,April 20: Town meeting,https://www.townofbluehillmaine.org/annual-town-meeting/elections,Town meeting details,Hancock
Hancock,Brooklin,town,https://www.brooklinmaine.com/,,,,,Hancock
Hancock,Brooksville,town,https://www.brooksvillemaine.org/,,March 1: Town election,,,Hancock
Hancock,Bucksport,election,https://www.bucksportmaine.gov/index.asp?Type=B_BASIC&SEC={8253A310-60E6-4438-A35F-2009D623A8A9},,,,,Hancock
Hancock,Castine,town,https://castine.me.us/,,,,,Hancock
Hancock,Cranberry Isles,town,https://www.cranberryisles-me.gov/,,May 1: Town Meeting,https://www.cranberryisles-me.gov/wp-content/uploads/2021/03/Complete-Warrant-May-1-2021-signed.pdf,Town meeting warrant,Hancock
Hancock,Dedham,election,https://www.dedhamme.org/index.asp?SEC=F6196C83-D62F-40DC-BF35-13F815190E14&Type=B_BASIC,,Local Elections and Referendum,https://www.dedhamme.org/,Sample ballot and warrant,Hancock
Hancock,Deer Isle,town,https://www.townofdeerisle.org/,Town Office,School budget,,,Hancock
Hancock,Eastbrook,town,https://www.eastbrookme.com/,,,,,Hancock
Hancock,Ellsworth,election,https://www.ellsworthmaine.gov/services/voter-registration/#ffs-tabbed-11,Church Street entrance lobby of City Hall,School budget and referendum,https://www.ellsworthmaine.gov/vote/,Election details,Hancock
Hancock,Fletcher's Landing Township,election,https://www.ellsworthmaine.gov/services/voter-registration/#ffs-tabbed-11,Church Street entrance lobby of City Hall,School budget and referendum,https://www.ellsworthmaine.gov/vote/,Election details,Hancock
Hancock,Franklin,town,https://www.franklinmaine.com/site/,,,,,Hancock
Hancock,Frenchboro,town,http://frenchboro.maine.gov/,,,,,Hancock
Hancock,Gouldsboro,town,http://www.gouldsborotown.com/,,,,,Hancock
Hancock,Great Pond,town,https://www.emainehosting.com/TownofGreatPond/,,,,,Hancock
Hancock,Hancock,election,https://hancockmaine.org/town-clerk/elections/,,May 10: Town Election,,,Hancock
Hancock,Lamoine,town,http://www.lamoine-me.gov/,,May 26: Town Meeting,http://www.lamoine-me.gov/Town%20Hall/Town%20Meeting/2021/March2021/IndexTM0321.htm,Town meeting details,Hancock
Hancock,Mariaville,town,https://mariaville.govoffice.com/,,"June 8: School budget, June 28: Town meeting",,,Hancock
Hancock,Mount Desert,election,https://www.mtdesert.org/town-clerk/pages/elections-voting,,,,,Hancock
