county,city,type,website,drop,ballot,ballot_link,ballot_link_text,sorting county
,Alton,Facebook,https://www.facebook.com/Town-of-Alton-321335587904880/,,,,,Penobscot
,Argyle,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,,,,Penobscot
,Bangor,election,https://www.bangormaine.gov/election,City Hall,,,,Penobscot
,Bradford,town,http://www.bradfordmaine.org,,,,,Penobscot
,Bradley,town,http://www.townofbradley.net/home/4573746044,,,,,Penobscot
,Brewer,town,https://brewermaine.gov/,,,,,Penobscot
,Burlington,town,http://www.burlingtonme.com/,,,,,Penobscot
,Carmel,town,http://www.townofcarmel.org/,,,,,Penobscot
,Carroll Plantation,Facebook,https://www.facebook.com/pages/Carroll-Plantation-Town-Offices/1504687936419080,,,,,Penobscot
,Cedar Lake Township,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,,,,Penobscot
,Charleston,town,http://www.charlestonmaine.com/,,,,,Penobscot
,Chester,contact info,https://www.maine.gov/local/town.php?t=Chester,,,,,Penobscot
,Clifton,town,https://cliftonme.com/,,,,,Penobscot
,Corinna,election,https://corinna.govoffice.com/index.asp?SEC=E47FF968-670B-444E-A6C7-0BCFCAAA3ADA&Type=B_BASIC,,,,,Penobscot
,Corinth,election,https://www.townofcorinth.com/voting-elections,,,,,Penobscot
,Dexter,town,http://www.dextermaine.org/,,,,,Penobscot
,Dixmont,town,https://www.townofdixmont.org/,,,,,Penobscot
,Drew Plantation,Facebook,https://www.facebook.com/pages/Drew-Plantation-Town-Office/260577274122319,,,,,Penobscot
,East Millinocket,town,https://www.eastmillinocket.org/default.aspx,,,,,Penobscot
,Eddington,town,http://www.eddingtonmaine.gov,,,,,Penobscot
,Edinburg,contact info,https://www.maine.gov/local/town.php?t=Edinburg,,,,,Penobscot
,Enfield,town,https://townofenfieldmaine.org/,,,,,Penobscot
,Etna,town,https://sites.google.com/site/townofetna/,,,,,Penobscot
,Exeter,town,http://www.townofexetermaine.com/,,,,,Penobscot
,Garland,town,https://www.garlandmaine.net/,,,,,Penobscot
,Glenburn,election,https://www.glenburn.org/index.asp?Type=B_BASIC&SEC={7E74E00E-6642-419F-A2B2-CE346E84470F},,,,,Penobscot
,Grand Falls,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,,,,Penobscot
,Greenbush,election,http://www.townofgreenbushmaine.org/elections_and_voting.html,,,,,Penobscot
,Greenfield,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,,,,Penobscot
,Grindstone,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,,,,Penobscot
,Hampden,election,https://www.hampdenmaine.gov/index.asp?SEC=814F1FE8-B9B4-408F-BD48-4A96889967AF&DE=3835680A-54C7-40D5-8E78-04785A3F6555&Type=B_BASIC,,,,,Penobscot
,Hermon,election,https://www.hermon.net/town-government/election-town-meeting/,,,,,Penobscot
,Herseytown,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,,,,Penobscot
,Holden,town,http://www.holdenmaine.com/,,,,,Penobscot
,Hopkins Academy Grant,(Penobscot County unorganized territories),https://www.ut.penobscot-county.net/,,,,,Penobscot
,Howland,town,https://howlandmaine.com/,,,,,Penobscot
